,time
0,0.607890993913
1,2.77029478458
2,4.79885239639
3,7.0514739229
4,9.14375929583
5,11.3486374239
6,13.4324263039
7,15.5638456099
8,17.768723738
9,19.9176870748
10,21.983931924
11,24.1239606954
12,26.2804988662
13,28.3391688814
14,30.4664399093
15,32.5543770674
16,34.6944058388
17,36.7047358967
18,38.9096140248
19,41.0197278912
20,43.0599728541
21,45.2648509822
22,47.3734693878
23,49.4152098115
24,51.6849372963
25,53.760116711
26,56.0129251701
27,58.1050236104
28,60.1802030251
29,62.3850811531
30,64.3954112111
31,66.6795918367
32,68.7403181105
33,70.8700680272
