,time
0,0.597732426304
1,3.29160997732
2,6.58412698413
3,9.23718820862
4,11.9945578231
5,14.9968253968
6,18.0671201814
7,21.0467120181
8,24.3709750567
9,27.2689342404
10,30.3301587302
11,33.5501133787
12,36.906122449
13,40.3619047619
14,43.3641723356
15,46.6249433107
16,49.5818594104
17,52.7972789116
18,55.7904761905
19,58.9832199546
20,62.1124716553
21,65.2507936508
22,68.4480725624
23,71.7632653061
24,74.8970521542
25,78.1351473923
26,81.1800663814
27,84.3437641723
28,87.7496598639
29,90.6476190476
30,93.3959183673
31,96.5160997732
32,99.853968254
33,103.441269841
34,105.817687075
35,108.933333333
36,111.985487528
37,115.087528345
38,118.248526077
39,121.271450516
40,124.511564626
41,127.468480726
42,130.53877551
43,133.663492063
44,136.878911565
45,140.044444444
46,143.214512472
47,146.384580499
48,149.482086168
49,152.597732426
50,155.541043084
51,158.420861678
52,161.509297052
53,164.584126984
54,167.658956916
55,170.66122449
56,173.677097506
57,176.720181406
58,179.754195011
59,182.788208617
60,185.949206349
61,188.924263039
62,192.153287982
63,195.173696145
