,time
0,1.17392290249
1,4.38480725624
2,7.66825396825
3,10.9244897959
4,14.1716553288
5,17.3780045351
6,20.7249433107
7,24.1353741497
8,27.4505668934
9,30.8836734694
10,34.2986394558
11,37.7907029478
12,41.1013605442
13,44.4346938776
14,47.9448979592
15,51.4142857143
16,54.7929705215
17,58.1489795918
18,61.4868480726
19,64.8247165533
20,68.1807256236
21,71.5594104308
22,75.0015873016
23,78.4482993197
24,81.7272108844
25,84.983446712
26,88.2532879819
27,91.6183673469
28,94.9244897959
29,98.1036281179
30,101.432426304
31,104.738548753
