,time
0,0.0919954648526
1,1.55511667032
2,3.11023334065
3,4.88111111111
4,6.47965279302
5,8.17362811791
6,9.67628150424
7,11.2348526077
8,12.8297125302
9,14.3848292005
10,15.8967481855
11,17.5814579117
12,19.3754421769
13,20.8212843082
14,22.3764009786
15,23.8883199636
16,25.5568480726
17,27.0849486748
18,28.467274604
19,30.382244898
20,31.7502986858
21,33.3054153561
22,34.8605320264
23,36.458846382
24,38.1435561082
25,39.8282658344
26,41.5129755606
27,43.1532199546
28,44.580011216
29,45.9623371451
30,47.6747619048
