,time
0,0.982993197279
1,5.98072562358
2,10.5702947846
3,16.0396825397
4,20.8378684807
5,25.5589569161
6,30.5385487528
7,35.962585034
8,40.2573696145
9,45.0873015873
10,49.9081632653
11,55.3866213152
12,59.4319727891
13,64.1349206349
14,69.0102040816
15,73.3548752834
16,78.8741496599
17,83.753968254
18,88.7063492063
19,93.9217687075
20,99.5725623583
21,105.069160998
22,110.157596372
23,115.472789116
24,120.397959184
25,125.890022676
26,130.529478458
27,134.928571429
28,139.962585034
29,146.075963719
30,151.232426304
31,156.366213152
32,161.078231293
33,166.66553288
34,172.379818594
35,177.445578231
36,182.461451247
37,187.858276644
38,191.840136054
39,196.865079365
40,202.348072562
41,207.037414966
42,212.896825397
43,218.030612245
44,223.08276644
45,228.103174603
46,232.157596372
47,238.4569161
48,243.490929705
49,248.787981859
50,253.554421769
51,257.749433107
52,261.459183673
53,266.289115646
54,271.817460317
55,275.613378685
56,281.300453515
57,284.878684807
58,289.490929705
