,time
0,0.239682539683
1,5.10589569161
2,9.89501133787
3,14.8111111111
4,19.6092970522
5,24.416553288
6,29.364399093
7,34.266893424
8,39.006122449
9,43.7725623583
10,48.9471655329
11,53.6818594104
12,58.625170068
13,63.3462585034
14,68.3167800454
15,73.214739229
16,78.2215419501
17,83.1285714286
18,87.7317460317
19,92.7204081633
20,97.7136054422
21,102.475510204
22,107.332653061
23,112.266893424
24,116.870068027
25,121.142176871
26,126.158049887
27,131.033333333
28,136.11723356
29,141.146712018
30,146.339455782
31,151.069614512
32,156.13537415
33,160.910884354
34,165.604761905
35,170.439229025
36,175.151247166
37,179.799773243
38,184.702267574
39,189.7
40,194.425623583
41,199.328117914
42,203.981179138
43,208.915419501
44,213.146712018
45,217.817913832
46,222.643310658
47,227.518594104
48,232.439229025
49,237.046938776
50,241.514058957
51,246.412018141
52,251.287301587
53,256.044671202
54,260.688662132
55,265.559410431
56,270.348526077
57,274.960770975
58,279.99478458
59,284.851927438
60,289.400680272
61,294.121768707
62,298.965306122
63,303.722675737
64,308.375736961
65,312.797505669
66,317.450566893
67,321.867800454
68,326.529931973
69,331.092290249
70,335.414285714
71,339.7
72,344.339455782
73,348.652380952
74,352.910884354
75,357.332653061
76,361.80430839
77,366.090022676
