,time
0,0.0
1,3.01950113379
2,6.10340136054
3,9.08752834467
4,12.0217687075
5,14.9605442177
6,17.8902494331
7,20.9469387755
8,23.9990929705
9,27.0965986395
10,30.4707482993
11,33.4775510204
12,36.4707482993
13,39.6997732426
14,42.9514739229
15,46.0807256236
16,48.9514739229
17,52.2848072562
18,55.7315192744
19,59.1328798186
20,62.420861678
21,65.5591836735
22,68.6430839002
23,71.6408163265
24,74.8335600907
25,78.0671201814
26,81.0784580499
27,84.2485260771
28,87.1510204082
29,90.1714285714
30,93.39138322
31,96.5297052154
32,99.6498866213
33,102.652154195
34,105.940136054
