,time
0,0.225850340136
1,5.02857142857
2,9.57278911565
3,14.3528344671
4,19.1873015873
5,23.5909297052
6,28.3573696145
7,33.114739229
8,37.7315192744
9,42.4798185941
10,47.2780045351
11,51.980952381
12,56.547845805
13,62.5070294785
14,67.346031746
15,72.1623582766
16,76.9469387755
17,82.1623582766
18,86.4888888889
19,91.4276643991
20,96.3210884354
21,100.897052154
22,105.586394558
23,110.053514739
24,114.475283447
25,118.919727891
26,123.61814059
27,128.507029478
28,133.318820862
29,138.24399093
30,143.019501134
31,147.559183673
32,151.872108844
33,156.302947846
34,160.711111111
35,165.504761905
36,170.293877551
37,174.901587302
38,179.459410431
39,184.062585034
40,188.738321995
41,193.645351474
42,198.439002268
43,203.155555556
44,207.822222222
45,212.53877551
46,217.450340136
47,222.153287982
48,226.810884354
49,231.785941043
50,236.53877551
51,241.082993197
52,245.690702948
53,250.357369615
54,254.801814059
55,259.550113379
56,264.34829932
57,268.711111111
58,273.26893424
59,277.840362812
60,282.484353741
61,287.16462585
62,291.940136054
63,296.425396825
64,300.987755102
65,305.486621315
66,309.831292517
67,314.175963719
68,318.620408163
69,322.960544218
70,327.6
71,332.089795918
72,336.357369615
73,340.53877551
74,344.819954649
75,349.096598639
76,353.364172336
77,357.58185941
