,time
0,0.0
1,3.08276643991
2,5.82199546485
3,8.63378684807
4,11.3140589569
5,14.0351473923
6,16.6700680272
7,19.3503401361
8,22.701814059
9,25.4501133787
10,28.1077097506
11,30.8469387755
12,33.6315192744
13,36.3752834467
14,39.268707483
15,42.066893424
16,44.8242630385
17,47.6814058957
18,50.7789115646
19,54.0442176871
20,56.9875283447
21,60.1893424036
22,63.0918367347
23,65.9807256236
24,68.6700680272
25,71.246031746
26,74.112244898
27,77.1281179138
28,79.8900226757
29,82.6836734694
30,85.5045351474
31,88.3662131519
32,91.4092970522
33,94.3117913832
34,97.2596371882
35,100.035147392
36,102.85600907
37,105.844671202
38,108.357142857
39,111.318594104
40,114.112244898
41,116.733560091
42,119.645124717
43,122.348072562
44,124.942176871
45,128.053287982
46,130.660997732
47,133.363945578
48,136.221088435
49,138.692743764
50,141.563492063
51,144.162131519
52,146.964852608
53,149.645124717
54,152.239229025
55,154.842403628
56,157.318594104
57,159.799319728
58,162.379818594
59,164.951247166
