,time
0,0.0
1,3.74920634921
2,7.48616780045
3,11.5768707483
4,15.3818594104
5,19.0961451247
6,22.8421768707
7,26.5746031746
8,30.3614512472
9,34.1256235828
10,37.9850340136
11,41.7038548753
12,45.3637188209
13,49.2775510204
14,52.7922902494
15,56.4476190476
16,59.9215419501
17,63.5496598639
18,67.041723356
19,70.556462585
20,74.198185941
21,77.5904761905
22,81.1551020408
23,84.5247165533
24,88.2344671202
25,92.1301587302
26,96.2526077098
27,99.8807256236
28,103.690249433
29,107.38185941
30,111.27755102
31,115.150566893
32,119.000907029
33,122.710657596
34,126.438548753
35,130.211791383
36,133.898866213
37,137.73106576
38,141.545124717
39,145.839909297
40,149.876190476
41,153.771882086
42,157.735600907
43,161.685714286
44,165.19138322
45,168.824036281
46,172.420408163
47,176.243537415
48,179.989569161
49,183.708390023
50,187.436281179
51,191.327437642
52,195.177777778
53,198.914739229
54,202.606349206
55,206.307029478
56,210.062131519
57,213.640362812
58,217.354648526
59,220.896598639
60,224.656235828
61,228.75600907
62,232.370521542
63,236.257142857
