,time
0,0.0
1,3.76780045351
2,7.63174603175
3,11.6362811791
4,15.473015873
5,19.6816326531
6,23.7405895692
7,28.0807256236
8,32.3392290249
9,36.4344671202
10,40.9151927438
11,44.8789115646
12,49.1918367347
13,53.0829931973
14,57.7179138322
15,62.2258503401
16,67.0149659864
17,71.4866213152
18,75.9129251701
19,80.2575963719
20,84.756462585
21,88.6929705215
22,93.2009070295
23,97.6544217687
24,101.926530612
25,105.953741497
26,110.516099773
27,114.733786848
28,118.928798186
29,123.47755102
30,127.817687075
31,131.382312925
32,135.47755102
33,139.58185941
34,143.463945578
35,147.318820862
36,151.450340136
37,155.572789116
38,159.990022676
39,164.153287982
40,168.570521542
41,173.119274376
42,177.613605442
43,182.089795918
44,186.652154195
45,190.865306122
46,195.105668934
47,199.776870748
48,204.987755102
49,209.47755102
50,214.207709751
51,219.046712018
52,223.554648526
53,227.622675737
54,232.343764172
55,236.529705215
56,241.146485261
57,245.30521542
58,249.817687075
59,254.039909297
60,258.425396825
61,263.128344671
62,267.699773243
63,272.153287982
64,276.6430839
65,281.151020408
