,time
0,0.389342403628
1,5.81337868481
2,10.4573696145
3,14.9743764172
4,19.7589569161
5,24.2623582766
6,28.9517006803
7,33.1603174603
8,37.7634920635
9,42.4664399093
10,47.6863945578
11,52.3802721088
12,57.4278911565
13,62.5253968254
14,67.446031746
15,72.4619047619
16,77.4596371882
17,82.5843537415
18,87.3235827664
19,92.5163265306
20,97.7362811791
21,102.470975057
22,107.400680272
23,112.461904762
24,117.418820862
25,121.677324263
26,125.527664399
27,130.597959184
28,135.341723356
29,140.412018141
30,145.146712018
31,149.963038549
32,154.362131519
33,158.416553288
34,162.416553288
35,166.752154195
36,170.86553288
37,175.71814059
38,180.729478458
39,186.63877551
40,191.808843537
41,196.720408163
42,201.654648526
43,206.461904762
44,211.110430839
45,215.813378685
46,220.752154195
47,225.736281179
48,230.675056689
49,235.536734694
50,240.094557823
51,244.724943311
52,249.495918367
53,254.407482993
54,258.978911565
55,264.407482993
56,269.101360544
57,274.017460317
58,278.702267574
59,283.300907029
60,287.609297052
61,292.203401361
62,297.033333333
63,301.709070295
64,306.393877551
65,310.933560091
66,315.563945578
67,320.035600907
68,324.262358277
69,328.366666667
70,332.919954649
71,337.237414966
72,341.423356009
73,345.514058957
74,350.01292517
75,354.01292517
76,358.443764172
77,362.670521542
