,time
0,1.17392290249
1,5.21473922902
2,9.75442176871
3,14.1444444444
4,18.5979591837
5,22.8156462585
6,27.1648526077
7,31.3371882086
8,35.6909297052
9,39.9131519274
10,43.9176870748
11,48.2442176871
12,52.6206349206
13,56.7476190476
14,61.0287981859
15,65.2691609977
16,69.1240362812
17,73.3371882086
18,77.4006802721
19,81.5548752834
20,85.7453514739
21,90.2442176871
22,94.4891156463
23,98.5163265306
24,102.575283447
25,106.811111111
26,110.915419501
27,115.182993197
28,119.378004535
29,123.7
30,127.799773243
31,131.891319013
32,136.475510204
33,140.466439909
34,144.507256236
35,149.010657596
36,153.223809524
37,158.062811791
