,time
0,0.0
1,3.97641723356
2,7.59546485261
3,11.6272108844
4,15.6317460317
5,20.0036281179
6,24.756462585
7,29.3777777778
8,33.7541950113
9,38.3800453515
10,42.8789115646
11,47.3777777778
12,52.1260770975
13,57.0195011338
14,61.2689342404
15,65.5183673469
16,69.8947845805
17,73.1238095238
18,76.7020408163
19,80.5024943311
20,84.4979591837
21,88.3936507937
22,92.5160997732
23,96.085260771
24,99.9718820862
25,103.70430839
26,108.107936508
27,111.858503401
28,115.609070295
29,119.355102041
30,123.105668934
31,126.85170068
32,130.856235828
33,134.393650794
34,137.713378685
35,141.37324263
36,145.404988662
37,149.590929705
38,154.094331066
39,159.414058957
40,164.03537415
41,168.411791383
42,172.638548753
43,177.531972789
44,182.534240363
45,186.951473923
46,191.58185941
47,196.45260771
48,200.951473923
49,205.708843537
50,210.085260771
51,214.203174603
52,217.024036281
53,219.953741497
54,223.953741497
55,227.949206349
56,232.325623583
57,236.325623583
58,240.45260771
59,244.575056689
60,248.697505669
61,253.200907029
62,257.454875283
63,261.568253968
64,265.572789116
65,269.577324263
66,273.541043084
67,277.28707483
68,281.536507937
69,285.541043084
70,289.169160998
71,292.85170068
72,296.479818594
73,300.729251701
74,304.85170068
75,308.85170068
76,312.856235828
77,317.228117914
78,320.74739229
