,time
0,0.625170068027
1,3.76349206349
2,7.10589569161
3,10.3848072562
4,13.7272108844
5,16.9879818594
6,20.3984126984
7,23.8859410431
8,27.364399093
9,30.983446712
10,34.3621315193
11,37.9040816327
12,41.49138322
13,45.1421768707
14,48.8111111111
15,52.3757369615
16,56.0401360544
17,59.7544217687
18,63.4142857143
19,66.8700680272
20,70.2215419501
21,73.7680272109
22,77.2873015873
23,80.8655328798
24,84.3303854875
25,87.9721088435
26,91.3780045351
27,94.6886621315
28,98.0673469388
29,101.414285714
30,104.879138322
31,108.362131519
32,111.59569161
33,115.459637188
