,time
0,0.334920634921
1,4.50482773755
2,10.3213151927
3,15.3371882086
4,20.3666666667
5,25.4959183673
6,30.3712018141
7,35.3507936508
8,39.8768707483
9,44.5299319728
10,49.4777777778
11,54.2532879819
12,58.9743764172
13,63.2192743764
14,67.9993197279
15,72.8473922902
16,77.7453514739
17,82.8201814059
18,87.5503401361
19,92.543537415
20,97.4188208617
21,102.489115646
22,107.6138322
23,113.096825397
24,118.071882086
25,123.436961451
26,128.883673469
27,134.044671202
28,139.287301587
29,144.470975057
30,149.895011338
31,155.015192744
32,160.443764172
33,165.831519274
34,170.910884354
35,175.963038549
36,181.409750567
