,time
0,0.45283446712
1,2.23826591569
2,4.71634603662
3,6.79473581547
4,8.87312559432
5,10.9515153732
6,13.4551020408
7,15.5879233414
8,17.9222222222
9,19.9845171043
10,22.5616780045
11,24.8428571429
12,27.2011337868
13,29.1773949723
14,31.5231292517
15,33.33417453
16,35.8768707483
17,37.9705824982
18,40.5843537415
19,43.1829931973
20,45.6229024943
21,47.5631507083
22,49.9612927608
23,52.416553288
24,54.5177626606
25,56.9789115646
26,58.994294492
27,61.3124984761
28,63.7952380952
29,65.709092239
30,67.9473581547
31,69.9902494331
32,71.5445712335
33,73.942713286
34,76.4210884354
35,78.339307049
36,80.9154195011
37,83.2155292224
38,85.6909297052
39,88.1444444444
