,time
0,0.14755540926
1,1.6889569161
2,3.39286323849
3,5.11804793602
4,6.84323263356
5,8.71390022676
6,10.523626655
7,12.3828344671
8,14.0890083632
9,15.8114058957
10,17.5968839149
11,19.2070562992
12,20.9950793651
13,22.7149318509
14,24.4599319728
15,26.1653012459
16,27.8794331066
17,29.5581644844
18,31.4168480726
19,33.1810523493
20,34.8182086168
21,36.5164094312
22,38.1265818155
23,39.7116326531
24,41.4619388974
25,43.1296174384
26,44.7397898227
27,46.4649745203
28,48.0751469046
29,49.5703069758
30,51.4680101431
31,53.1931948407
32,54.7819274376
33,56.5860580791
34,58.4262550898
35,60.0971201814
36,61.7616121718
37,63.4531292517
