,time
0,0.00816326530612
1,2.92879818594
2,6.22585034014
3,9.55011337868
4,12.7292517007
5,15.9628117914
6,19.0739229025
7,22.1034013605
8,25.0013605442
9,28.1578231293
10,31.1918367347
11,34.3256235828
12,37.4367346939
13,40.6068027211
14,43.7814058957
15,46.7972789116
16,49.8721088435
17,52.9968253968
18,55.9764172336
19,59.1827664399
20,62.2167800454
21,65.5501133787
22,68.6430839002
23,71.6861678005
24,74.8607709751
25,78.0217687075
26,81.1056689342
27,84.2485260771
28,87.4049886621
29,90.6340136054
