,time
0,0.656462585034
1,6.25736961451
2,10.4841269841
3,14.3253968254
4,18.679138322
5,23.8718820862
6,29.0011337868
7,33.5045351474
8,38.2573696145
9,42.7517006803
10,46.9467120181
11,51.5045351474
12,56.3752834467
13,64.8424036281
14,70.089569161
15,75.1054421769
16,80.4433106576
17,85.9126984127
18,91.3185941043
19,96.6156462585
20,102.116780045
21,107.926303855
22,112.697278912
23,117.667800454
24,122.778911565
25,127.899092971
26,133.577097506
27,139.336734694
28,144.416099773
29,148.878684807
30,153.137188209
31,157.314058957
32,161.749433107
33,166.275510204
34,171.5861678
35,176.311791383
36,180.87414966
37,185.608843537
38,190.475056689
39,196.085034014
40,202.130385488
41,207.454648526
42,213.450113379
43,218.701814059
44,224.030612245
45,229.264172336
46,234.375283447
47,240.316326531
48,245.772108844
49,251.776643991
50,257.427437642
51,263.545351474
52,269.876417234
53,275.649659864
54,280.987528345
55,286.302721088
56,292.180272109
57,297.368480726
58,302.252834467
59,308.252834467
60,312.670068027
61,317.005668934
62,320.964852608
63,324.96031746
