,time
0,0.00362811791383
1,3.16916099773
2,6.14875283447
3,9.53650793651
4,12.4798185941
5,15.5183673469
6,18.5886621315
7,21.6498866213
8,24.8154195011
9,27.8494331066
10,30.8335600907
11,33.958276644
12,36.9242630385
13,39.8267573696
14,43.114739229
15,46.1079365079
16,49.1102040816
17,52.0943310658
18,55.2553287982
19,58.4117913832
20,61.4231292517
21,64.4752834467
22,67.5546485261
23,70.674829932
24,73.7768707483
25,76.8653061224
26,79.9537414966
27,82.9560090703
28,85.8585034014
29,88.6839002268
30,91.5319727891
31,94.3528344671
32,97.3732426304
33,100.321088435
34,103.291609977
35,106.180498866
36,109.046712018
37,112.12154195
38,115.169160998
39,118.171428571
40,121.119274376
41,123.940136054
42,126.874376417
43,129.849433107
44,132.738321995
45,135.72244898
46,138.634013605
47,141.572789116
48,144.448072562
49,147.404988662
50,150.203174603
51,152.965079365
52,155.804081633
53,158.575056689
54,161.404988662
55,164.22585034
56,167.082993197
57,169.962811791
58,172.797278912
59,175.590929705
