,time
0,0.0
1,1.32482383634
2,2.61609977324
3,3.93031071449
4,5.16681296174
5,6.53579759263
6,7.73628117914
7,9.00880208714
8,10.2804988662
9,11.5259673762
10,12.8949520071
11,14.1314542543
12,15.3870748299
13,16.6486195434
14,18.0176041743
15,19.3424280106
16,20.5789302579
17,21.8950113379
18,23.184417136
19,24.5534017669
20,25.6574216305
21,26.9471655329
22,28.1745869196
23,29.4110891668
24,30.7430839002
25,32.016576045
26,33.2972390868
27,34.533741334
28,35.8496598639
29,37.0950674176
30,38.419891254
31,39.7888758849
32,41.0696145125
33,42.3502019685
34,43.7633473939
35,44.9115280521
36,46.2170068027
37,47.6053365193
38,48.8418387666
