,time
0,0.239455782313
1,11.5909297052
2,24.250298323
3,35.1552665287
4,46.5559151074
5,57.9565636861
6,70.0988662132
7,82.2449019625
8,93.6455505412
9,105.04619912
10,118.048979592
11,126.937868481
12,138.593197279
13,150.648793435
14,161.058081267
15,172.954410219
16,187.872108844
17,201.208191479
18,213.104520431
19,224.806349206
20,237.06031746
21,247.649886621
22,258.003628118
23,268.688435374
24,280.153287982
25,290.520634921
26,301.931307196
27,312.340595028
28,323.245563234
29,335.637572559
30,346.046860392
31,357.658956916
32,369.839518295
33,381.400453515
34,390.815419501
35,400.892517007
36,410.321088435
37,420.965079365
38,430.724716553
39,441.191836735
40,451.563718821
41,461.400453515
42,470.883446712
43,480.461678005
44,490.194104308
45,500.203456391
46,511.604104969
47,524.95600907
48,536.198639456
49,546.439002268
50,556.457142857
51,566.448072562
52,576.325623583
53,587.938882409
54,598.348170242
55,608.261777702
56,617.679704788
57,628.801814059
58,639.804081633
59,651.209977324
60,661.844897959
61,673.191836735
62,683.605194396
63,694.014482228
64,706.402721088
65,716.97414966
66,728.289342404
67,739.12139617
68,749.404988662
69,760.931332582
70,772.33198116
71,784.228310112
72,794.637597945
73,806.533926897
74,819.421616594
75,831.813625919
76,845.19699599
77,857.093324941
78,869.981014639
79,879.398941726
80,893.962811791
81,903.908390023
82,914.996825397
83,925.577324263
84,934.883446712
85,943.990022676
86,953.940136054
87,961.994557823
