,time
0,0.370975056689
1,4.97414965986
2,8.37551020408
3,11.958276644
4,15.9083900227
5,19.1464852608
6,22.906122449
7,26.8743764172
8,31.3868480726
9,35.4412698413
10,39.6498866213
11,43.3959183673
12,47.8222222222
13,52.0489795918
14,55.8448979592
15,59.4231292517
16,62.8154195011
17,65.9945578231
18,69.4594104308
19,73.2507936508
20,77.5229024943
21,81.6770975057
22,85.6362811791
23,88.4993782459
24,92.5523809524
25,95.5909297052
26,99.2870748299
27,102.06928291
28,105.21592747
29,108.85170068
30,111.890249433
31,114.774603175
32,118.153287982
33,121.246258503
34,124.502494331
35,127.91292517
36,130.824489796
37,134.008163265
38,137.473015873
39,141.89478458
40,145.541043084
41,148.107936508
42,150.842273588
43,154.135147392
44,157.151020408
45,159.917460317
46,162.95600907
47,166.026303855
48,169.101133787
49,172.153287982
50,176.062585034
51,179.151020408
52,183.876643991
53,186.674829932
54,189.785941043
55,192.983219955
56,196.053514739
57,199.300680272
58,202.171912971
59,205.246258503
60,208.126077098
61,211.033106576
62,214.094331066
63,216.969614512
