,time
0,0.0
1,4.03514739229
2,7.99433106576
3,12.0804988662
4,16.2528344671
5,20.343537415
6,24.1439909297
7,27.7811791383
8,31.7675736961
9,35.522675737
10,39.1916099773
11,42.4886621315
12,46.1575963719
13,50.089569161
14,53.753968254
15,57.2641723356
16,60.8650793651
17,64.6746031746
18,67.8900226757
19,71.7811791383
20,75.4365079365
21,79.1689342404
22,82.7698412698
23,86.5839002268
24,90.0215419501
25,93.5907029478
26,97.0283446712
27,100.547619048
28,104.107709751
29,107.645124717
30,111.382086168
31,114.964852608
32,118.742630385
33,122.239229025
34,125.944444444
35,129.431972789
36,132.851473923
37,136.611111111
38,140.207482993
39,143.513605442
40,147.069160998
41,150.629251701
42,154.23015873
43,157.821995465
44,161.422902494
45,165.091836735
46,168.624716553
47,172.307256236
48,175.944444444
49,179.522675737
50,183.114512472
51,186.756235828
52,190.343537415
53,194.017006803
54,197.577097506
55,201.241496599
56,204.66553288
57,208.257369615
58,211.826530612
59,215.490929705
60,219.060090703
61,222.638321995
62,226.225623583
63,229.835600907
