,time
0,0.180725623583
1,3.65918367347
2,7.53673469388
3,11.7272108844
4,15.49138322
5,19.3326530612
6,23.110430839
7,26.7929705215
8,30.625170068
9,34.3575963719
10,38.0945578231
11,41.8768707483
12,45.6546485261
13,49.4777777778
14,53.0696145125
15,56.856462585
16,60.6115646259
17,64.3666666667
18,68.3848072562
19,72.3031746032
20,76.289569161
21,80.4619047619
22,84.3984126984
23,88.2170068027
24,91.8723356009
25,95.5503401361
26,99.2328798186
27,103.341723356
28,107.314512472
29,111.378004535
30,115.432426304
31,119.486848073
32,123.486848073
