,time
0,0.164557823129
1,1.69448711384
2,3.32102040816
3,4.9220816164
4,6.51376417234
5,7.94795146254
6,9.56591836735
7,11.01416624
8,12.6180725624
9,14.0803810174
10,15.66569161
11,17.1062508635
12,18.5183234584
13,20.1554875283
14,21.6248831671
15,23.1983354871
16,24.7087755102
17,26.3048951958
18,27.9590373784
19,29.5024263039
20,30.8638724307
21,32.3969798194
22,33.9151247166
23,35.4631945968
24,37.0715873016
25,38.5294093743
26,39.9818269004
27,41.5956241517
28,43.1350793651
29,44.5811490666
