,time
0,0.0
1,3.76303854875
2,7.06462585034
3,11.5408163265
4,14.7063492063
5,18.1349206349
6,21.1145124717
7,23.6587301587
8,27.037414966
9,29.9126984127
10,32.9784580499
11,36.2301587302
12,39.5544217687
13,42.9784580499
14,46.9739229025
15,50.1485260771
16,53.373015873
17,56.9467120181
18,60.9149659864
19,64.9557823129
20,69.0283446712
21,72.9829931973
22,76.8514739229
23,80.6882086168
24,84.0578231293
25,88.0487528345
26,92.3480725624
27,95.6360544218
28,99.5634920635
29,103.436507937
30,107.327664399
31,111.241496599
32,115.191609977
33,118.506802721
34,122.588435374
35,126.606575964
36,130.579365079
37,134.470521542
38,138.620181406
39,142.24829932
40,146.212018141
41,150.094104308
42,154.053287982
43,158.184807256
44,162.053287982
45,166.171201814
46,169.323129252
47,173.16893424
48,177.137188209
49,181.087301587
50,184.76984127
51,188.547619048
52,193.373015873
53,197.259637188
54,201.386621315
55,205.105442177
56,209.08276644
57,213.980725624
58,218.270975057
59,222.03968254
