,time
0,0.0
1,2.33492063492
2,4.22207592715
3,6.6183892912
4,8.55826201448
5,10.4981347378
6,12.879138322
7,15.5095238095
8,17.8814058957
9,19.8551678736
10,22.1373710775
11,24.0772438007
12,26.1353741497
13,27.9569892473
14,31.4505668934
15,33.5483870968
16,35.6023699803
17,37.8845731841
18,40.1489795918
19,42.5934240363
20,44.9199546485
21,46.5569453588
22,48.6109282423
23,50.208470485
24,52.2850340136
25,54.0882159315
26,56.1761904762
27,58.9949528198
28,60.8655328798
29,62.9888084266
30,65.3553287982
31,67.4391046741
32,69.2648672372
33,71.3188501207
34,72.9163923634
35,75.0844854071
36,77.3009070295
37,79.192451174
38,81.3009070295
39,83.0721966206
40,86.1531709458
41,87.9789335089
42,90.0329163924
43,91.8586789555
44,93.7985516787
45,95.9630385488
46,97.2218564845
47,99.6863945578
48,101.215712091
49,102.470923853
50,104.55260771
51,105.894228659
52,107.99478458
53,109.659863946
54,111.257406188
55,113.311389072
56,115.128571429
57,116.848804038
58,118.389342404
59,120.043888523
60,121.527320606
61,123.196598639
62,124.836515251
63,126.205837174
