,time
0,1.20997732426
1,6.84263038549
2,12.4480725624
3,18.5206349206
4,24.5886621315
5,30.3392290249
6,35.5682539683
7,41.6045351474
8,47.137414966
9,52.9424036281
10,58.0353741497
11,64.8789115646
12,69.3823129252
13,74.5523809524
14,80.5342403628
15,85.5863945578
16,90.6793650794
17,96.1170068027
18,102.565986395
19,108.089795918
20,113.749659864
21,119.79047619
22,124.97414966
23,130.466213152
24,135.935600907
25,140.770068027
26,145.858503401
27,152.071655329
28,157.110204082
29,162.743823605
30,169.033106576
31,173.527437642
32,179.092063492
33,184.003628118
34,189.228117914
35,194.484353741
36,199.890249433
37,204.965079365
38,209.731519274
39,214.325623583
40,219.482086168
41,224.298412698
42,229.781405896
43,234.363895289
44,240.692970522
45,245.645351474
46,250.788208617
47,256.53877551
48,261.486621315
49,267.804081633
50,272.194104308
51,277.073922902
52,281.531972789
53,285.840821813
54,291.627210884
55,296.484353741
56,301.450340136
57,306.443537415
58,311.073922902
