,time
0,0.244444444444
1,3.75918367347
2,7.16507936508
3,10.3850340136
4,13.5505668934
5,16.7342403628
6,19.6639455782
7,22.4303854875
8,25.5142857143
9,28.4349206349
10,31.6276643991
11,34.3804988662
12,37.1650793651
13,39.9768707483
14,43.0154195011
15,46.2399092971
16,49.2013605442
17,52.0448979592
18,55.0154195011
19,57.6820861678
20,60.0766439909
21,62.7342403628
22,65.6775510204
23,68.4802721088
24,71.2875283447
25,73.7682539683
26,76.5120181406
27,79.1786848073
28,81.7501133787
29,84.3941043084
30,87.1106575964
31,89.8045351474
32,92.5346938776
33,95.777324263
34,98.6571428571
35,101.115192744
36,104.23537415
37,106.956462585
38,109.768253968
39,112.525623583
40,115.165079365
41,117.949659864
42,120.788662132
43,123.582312925
44,126.090249433
45,128.666213152
46,131.459863946
47,134.171882086
48,137.178684807
49,140.09478458
50,143.033560091
51,146.226303855
52,148.589115646
53,151.269387755
54,154.180952381
55,157.019954649
56,159.931519274
57,162.489342404
58,165.251247166
59,168.230839002
60,170.834013605
61,173.659410431
62,176.471201814
63,179.409977324
64,182.126530612
65,184.743310658
66,187.464399093
67,190.258049887
68,193.214965986
69,196.053968254
70,198.629931973
71,201.763718821
72,205.242176871
73,208.512018141
74,211.654875283
75,214.593650794
76,217.582312925
77,220.058503401
78,223.137868481
79,227.242176871
80,230.598185941
81,234.380498866
82,238.00861678
83,241.094488876
84,245.199472572
85,249.001814059
86,252.502947846
87,255.813605442
