,time
0,1.37800453515
1,4.1126984127
2,6.59342403628
3,9.01065759637
4,11.7317460317
5,14.4346938776
6,17.3326530612
7,19.9131519274
8,22.5888888889
9,25.2555555556
10,27.8632653061
11,30.4120181406
12,33.1557823129
13,35.7997732426
14,38.5163265306
15,41.2555555556
16,44.4029478458
17,47.2827664399
18,50.0990929705
19,52.8700680272
20,55.5458049887
21,58.5117913832
22,61.3507936508
23,64.3303854875
24,67.4868480726
25,70.5752834467
26,73.5594104308
27,76.543537415
28,79.4142857143
29,82.1897959184
30,85.1965986395
31,87.9766439909
32,91.0560090703
33,93.6455782313
34,96.4437641723
35,99.1195011338
36,101.659183673
37,104.298639456
38,107.232879819
39,110.071882086
