,time
0,0.0492063492063
1,3.77256235828
2,7.33265306122
3,10.8020408163
4,14.266893424
5,17.80430839
6,21.3553287982
7,24.7929705215
8,28.0219954649
9,31.3054421769
10,34.6523809524
11,38.1126984127
12,41.4868480726
13,44.8927437642
14,48.3167800454
15,51.7090702948
16,55.3235827664
17,58.9335600907
18,62.2804988662
19,65.9993197279
20,69.5049886621
21,72.7884353741
22,76.0718820862
23,79.5231292517
24,83.4551020408
25,86.9925170068
26,90.5299319728
27,94.2351473923
28,97.931292517
29,101.47324263
30,104.929024943
31,108.520861678
32,111.922222222
33,115.337188209
34,118.724943311
35,122.289569161
36,125.57755102
37,129.223809524
38,132.643310658
39,135.899546485
40,139.59569161
41,143.096825397
42,146.389342404
43,149.90861678
44,153.137641723
45,156.561678005
46,159.89047619
47,163.051473923
48,166.271428571
49,169.432426304
50,172.910884354
51,176.357596372
52,179.754421769
53,183.019727891
54,186.253287982
55,189.650113379
56,193.015192744
57,196.266893424
58,200.13537415
59,203.695464853
60,207.241950113
61,210.779365079
62,214.162585034
63,217.609297052
