,time
0,0.0
1,3.67233560091
2,7.48639455782
3,11.477324263
4,15.3911564626
5,19.1689342404
6,23.1825396825
7,27.1099773243
8,30.8922902494
9,34.783446712
10,38.7562358277
11,42.8197278912
12,46.806122449
13,50.8968253968
14,54.806122449
15,58.7653061224
16,62.6972789116
17,66.470521542
18,70.4841269841
19,74.7653061224
20,78.4931972789
21,82.1167800454
22,85.5429985614
23,89.9081632653
24,93.8854875283
25,97.7494331066
26,101.980725624
27,106.375283447
28,110.153061224
29,114.388888889
30,118.443310658
31,122.583900227
32,126.470521542
33,130.379818594
34,134.411564626
35,138.411564626
36,142.193877551
37,146.157596372
38,149.994331066
39,154.089569161
40,157.958049887
41,162.148526077
42,166.184807256
43,170.003401361
44,173.83106576
45,177.613378685
46,181.5861678
47,185.948979592
48,190.026077098
49,194.157596372
50,198.243764172
51,202.171201814
52,206.293650794
53,209.865489804
54,214.03968254
55,217.926303855
56,221.890022676
57,225.835600907
58,229.722222222
59,234.547619048
60,238.846938776
61,242.992063492
62,247.137188209
63,250.698014451
