,time
0,1.15124716553
1,5.02426303855
2,8.90181405896
3,12.9925170068
4,17.3553287982
5,21.6183673469
6,25.8723356009
7,30.289569161
8,34.7884353741
9,38.983446712
10,43.4414965986
11,47.4959183673
12,51.5775510204
13,56.0174603175
14,60.5163265306
15,64.6977324263
16,69.1693877551
17,73.3553287982
18,77.9267573696
19,82.2442176871
20,86.8111111111
21,91.0333333333
22,95.4505668934
23,99.7634920635
24,104.720408163
25,108.829251701
26,113.187528345
27,116.774829932
28,120.947165533
29,125.119501134
30,128.910884354
31,132.956235828
32,137.042403628
33,141.341723356
34,145.722675737
35,149.749886621
36,154.162585034
37,158.121768707
38,162.280498866
39,166.629705215
40,170.870068027
41,174.670521542
42,178.611564626
43,182.688662132
44,186.879138322
45,190.820181406
46,195.001587302
47,199.046938776
48,202.774829932
49,206.860997732
50,210.570748299
51,214.203401361
52,218.185260771
53,221.826984127
54,226.017460317
55,229.854195011
56,233.981179138
57,238.330385488
58,242.529931973
59,246.393877551
60,250.153514739
61,254.017460317
62,258.03106576
63,261.713605442
64,265.328117914
65,268.997052154
66,272.797505669
