,time
0,1.14648526077
1,4.16235827664
2,7.27346938776
3,10.2077097506
4,12.8562358277
5,15.6181405896
6,17.8214560018
7,19.9493910467
8,21.9990929705
9,24.4712530173
10,26.2002002414
11,28.3936507937
12,30.8925170068
13,33.2281179138
14,36.0418998244
15,38.398185941
16,41.2371882086
17,43.7768707483
18,46.5070294785
19,49.3188208617
20,51.3364329603
21,53.6181405896
22,55.9537414966
23,58.4027210884
24,60.756462585
25,62.2421000658
26,64.7519274376
27,67.5619376783
28,69.7950113379
29,72.3891156463
30,74.4777265745
31,76.4726656792
32,78.4676047838
33,80.1965520079
34,82.1850340136
35,84.3194261576
36,85.9153774413
37,88.5297052154
38,90.1712475313
39,92.6981703972
40,94.9333333333
41,97.2507936508
42,99.7469552337
43,102.007886219
44,103.953741497
45,106.52974819
46,108.293877551
47,110.253634518
48,111.849585802
49,113.445537086
50,115.033106576
51,117.169423415
52,119.031366579
53,120.494321922
54,122.257596372
55,123.81922043
56,125.149179833
57,126.919727891
58,128.341082401
59,130.098866213
