,time
0,0.0
1,0.999000316973
2,2.45587577922
3,3.70462617544
4,5.11693877551
5,6.32700200749
6,7.6520861678
7,8.78287778672
8,10.0316281829
9,11.3210204082
10,12.5291289754
11,13.7836054422
12,14.9850047546
13,16.275380164
14,17.4408805338
15,18.9037868481
16,20.1465063923
17,21.3120067621
18,22.6440071847
19,23.8927575809
20,25.1831329904
21,26.4735083998
22,27.8561678005
23,29.0958842318
24,30.3030096148
25,31.6350100375
26,32.8421354205
27,34.0492608035
28,35.5477612789
29,36.9944897959
30,38.2950121506
31,39.5021375336
32,40.9219274376
33,42.2077633921
34,43.5477777778
35,44.9550142638
36,46.20376466
