,time
0,0.0
1,2.62040816327
2,4.41372247824
3,6.28955453149
4,8.16538658474
5,9.9537414966
6,12.4888888889
7,14.3445980543
8,16.7156462585
9,18.6479774706
10,20.8548387097
11,22.7065759637
12,24.7168458781
13,26.5841269841
14,28.7995391705
15,31.2270865335
16,33.5442908346
17,35.5727891156
18,37.8476702509
19,40.1306122449
20,42.4526077098
21,44.6889400922
22,46.6751152074
23,48.9923195084
24,50.9650793651
25,52.633640553
26,54.8405017921
27,57.0473630312
28,59.3823129252
29,61.4610855095
30,63.4472606247
31,65.3230926779
32,67.5299539171
33,70.062585034
34,72.3850486431
35,73.8195084485
36,75.4231292517
37,77.1298003072
38,78.6746031746
39,80.7927437642
40,83.264399093
41,84.9641577061
42,86.8399897593
43,88.7927437642
44,90.150281618
45,91.9157706093
46,94.085260771
47,95.7777777778
48,98.0081632653
49,99.7501280082
50,101.736303123
51,103.586394558
52,105.377624168
53,106.701740911
54,108.467229903
55,109.901689708
56,111.5138322
57,113.101638505
58,114.53609831
59,116.144217687
60,117.956733231
61,119.391193036
62,121.096598639
63,122.480798771
