,time
0,0.0353741496599
1,3.64081632653
2,7.20090702948
3,10.756462585
4,14.0486796869
5,17.6816326531
6,20.8108843537
7,24.2757369615
8,26.9696145125
9,29.5682539683
10,32.0081632653
11,35.5092970522
12,39.0467120181
13,42.3709750567
14,45.6453514739
15,48.3074829932
16,51.1306597908
17,53.8766439909
18,56.4752834467
19,58.971783337
20,61.6997732426
21,64.6068027211
22,67.2598639456
23,70.4843537415
24,73.2099773243
25,78.9696145125
26,81.6783702728
27,85.3324263039
28,87.8859264136
29,91.1691609977
30,94.4979591837
31,97.6770975057
32,100.464395436
33,103.241460025
34,106.345238095
35,109.122302685
36,112.493424036
37,115.454875283
38,118.289342404
39,121.350566893
40,124.280272109
41,127.744971107
42,130.529705215
43,133.010430839
44,135.586094653
45,138.760997732
46,140.81351035
47,143.463945578
48,146.040926048
49,149.024036281
50,151.627210884
51,154.207709751
52,156.724716553
53,159.28707483
54,162.049886621
55,164.742857143
56,167.468480726
57,170.425396825
58,172.831431497
59,175.608496087
60,178.325623583
61,180.509198303
62,183.286262892
63,185.82675737
64,188.552380952
65,191.341496599
66,193.967346939
67,196.518158876
68,199.214512472
69,202.171428571
70,204.670294785
71,207.681632653
72,210.24399093
73,212.69047619
74,215.304184039
75,217.40952381
76,220.257596372
77,222.919727891
78,225.658956916
79,228.046009802
80,230.937868481
81,233.423129252
82,235.926530612
83,238.500841197
84,241.377777778
85,243.728256894
86,245.990022676
87,248.711111111
88,251.658956916
89,254.22585034
90,256.847165533
91,259.58185941
92,262.089795918
93,264.860770975
94,267.545578231
95,270.212244898
96,273.010430839
97,275.658956916
98,278.266666667
99,280.829024943
100,283.336961451
101,285.885714286
102,288.547845805
103,291.445804989
