,time
0,1.14133729956
1,3.43696145125
2,5.40633457684
3,7.38865725502
4,9.65918367347
5,11.5335137639
6,13.5684807256
7,15.4981591203
8,17.5405521826
9,19.5503401361
10,21.5652679232
11,23.6076609855
12,25.7453514739
13,27.5723063419
14,29.5546290201
15,31.7317460317
16,33.5192743764
17,35.621737823
18,37.543990117
19,39.6365079365
20,41.5086354733
21,43.6954648526
22,45.593421598
23,47.4556035078
24,49.5095238095
25,51.36017848
26,53.2223603898
27,55.3825396825
28,57.3071465145
29,59.1092580401
30,61.0915807183
31,63.0739033965
32,65.0106575964
