,time
0,0.14906086688
1,1.85237607588
2,3.78163265306
3,5.44486301092
4,7.12884126171
5,9.03734994595
6,10.9607709751
7,12.629836881
8,14.3848072562
9,15.9977933826
10,17.9624346752
11,19.5902803176
12,21.2873015873
13,22.9021042109
14,24.64221507
15,26.3712018141
16,27.8979063549
17,29.7498866213
18,31.3219954649
19,32.9498411073
20,34.7839002268
21,36.2055323922
22,37.9456432513
23,39.953968254
24,41.5942627947
25,43.3145124717
26,44.906086688
27,46.5900649388
28,48.2740431896
29,49.8457562236
30,51.5858670828
31,53.4278911565
32,55.2906192346
33,57.0307300937
34,58.6585757361
35,60.393877551
36,62.0265322377
