,time
0,0.434693877551
1,6.08548752834
2,10.5752834467
3,14.1580498866
4,17.8587301587
5,22.416553288
6,27.3825396825
7,32.5163265306
8,36.8201814059
9,41.3009070295
10,45.133106576
11,48.9380952381
12,52.3575963719
13,55.9494331066
14,59.9857142857
15,63.9448979592
16,67.2011337868
17,71.5503401361
18,75.722675737
19,79.8315192744
20,84.416553288
21,88.8746031746
22,93.3235827664
23,97.8632653061
24,101.999319728
25,106.611564626
26,111.019727891
27,115.477777778
28,119.568480726
29,123.727210884
30,127.754421769
31,132.384807256
32,137.559410431
