,time
0,0.0
1,1.30079080617
2,2.74095205585
3,4.18111330554
4,5.76349206349
5,7.24726306293
6,8.72947845805
7,10.2669560058
8,11.8000308845
9,13.3331057632
10,14.6803533839
11,16.1205146336
12,17.80430839
13,19.186664391
14,20.6732824552
15,22.2528141484
16,23.7861678005
17,25.1331366477
18,26.5268410829
19,28.1528295906
20,29.7788180983
21,31.2283446712
22,32.7055974122
23,34.3077097506
24,35.7717471696
25,37.341723356
26,38.7914401125
27,40.4174286202
28,41.9766439909
29,43.4371215631
30,45.0631100708
31,46.6297052154
32,48.0828030137
33,49.6863945578
34,51.1024959566
