,time
0,0.0
1,3.01473922902
2,5.98979591837
3,9.42743764172
4,12.0850340136
5,14.783446712
6,17.5
7,20.3299319728
8,23.5907029478
9,26.3798185941
10,29.4092970522
11,32.3979591837
12,35.3503401361
13,38.3934240363
14,41.5725623583
15,44.6292517007
16,48.0623582766
17,51.4365079365
18,54.806122449
19,58.298185941
20,61.522675737
21,65.0238095238
22,67.962585034
23,71.2233560091
24,74.3707482993
25,77.4637188209
26,80.8378684807
27,84.3662131519
28,87.4818594104
29,90.3526077098
30,93.4546485261
31,96.4659863946
32,99.6179138322
33,102.747165533
34,105.735827664
35,108.556689342
36,111.608843537
37,115.046485261
38,117.781179138
39,121.014739229
40,124.284580499
41,127.227891156
42,130.393424036
43,133.785714286
44,136.801587302
45,140.075963719
46,143.159863946
47,146.4569161
48,149.459183673
49,152.679138322
50,155.817460317
51,159.032879819
52,162.370748299
53,165.654195011
54,169.001133787
55,172.103174603
56,175.37755102
57,178.715419501
58,181.962585034
59,185.214285714
