,time
0,1.31882086168
1,5.20090702948
2,9.11927437642
3,12.6022675737
4,15.9219954649
5,19.4412698413
6,22.8789115646
7,26.3301587302
8,29.5138321995
9,33.3596371882
10,37.3551020408
11,40.756462585
12,44.5795918367
13,47.9628117914
14,51.7678004535
15,55.3505668934
16,59.3188208617
17,63.1691609977
18,67.2598639456
19,71.3006802721
20,75.3959183673
21,79.8811791383
22,84.212244898
23,88.7428571429
24,92.9968253968
25,97.2326530612
26,101.123809524
27,104.352834467
28,108.271201814
29,111.867573696
30,115.754195011
31,119.092063492
32,123.114739229
33,126.715646259
34,130.062585034
35,133.817687075
36,137.531972789
37,140.937868481
38,144.670294785
39,148.516099773
40,152.76553288
41,156.570521542
42,160.216780045
43,163.967346939
44,167.232653061
45,171.327891156
46,175.06031746
47,178.756462585
48,182.497959184
49,186.484353741
50,190.670294785
51,194.343764172
52,198.420861678
53,202.620408163
54,206.588662132
55,209.953741497
56,212.887981859
57,216.189569161
58,219.804081633
59,223.649886621
60,227.586394558
