,time
0,0.00816326530612
1,3.89024943311
2,7.53197278912
3,11.3006802721
4,15.4458049887
5,19.3142857143
6,23.1011337868
7,26.570521542
8,30.5886621315
9,34.3210884354
10,38.2712018141
11,42.3664399093
12,46.3074829932
13,50.801814059
14,55.0013605442
15,59.0240362812
16,62.7746031746
17,66.5523809524
18,70.3528344671
19,74.0081632653
20,77.3278911565
21,80.5931972789
22,84.4163265306
23,87.8902494331
24,90.8562358277
25,94.293877551
26,97.3596371882
27,101.024036281
28,104.629478458
29,108.126077098
30,111.6861678
31,115.096598639
32,118.457142857
33,121.844897959
34,125.463945578
35,128.983219955
36,132.751927438
37,136.552380952
38,139.994557823
39,142.634013605
40,146.307482993
41,150.171428571
42,153.609070295
43,157.209977324
44,160.819954649
45,164.470748299
46,168.058049887
47,171.640816327
48,175.046712018
49,178.928798186
50,182.289342404
51,185.853968254
52,189.355102041
53,192.298412698
54,195.418594104
55,198.280272109
56,201.441269841
57,204.656689342
58,208.12154195
59,211.500226757
60,214.910657596
61,218.117006803
62,221.432199546
63,224.738321995
