,time
0,0.0582766439909
1,4.26235827664
2,8.8156462585
3,13.4369614512
4,18.4074829932
5,23.2782312925
6,27.90861678
7,32.752154195
8,37.3961451247
9,42.1535147392
10,47.0786848073
11,51.931292517
12,57.1784580499
13,62.4120181406
14,67.6319727891
15,72.7566893424
16,77.4823129252
17,82.266893424
18,86.8292517007
19,91.80430839
20,96.8111111111
21,101.704535147
22,106.566213152
23,111.586621315
24,116.55260771
25,121.731746032
26,126.661451247
27,131.641043084
28,136.688662132
29,141.627437642
30,146.829251701
31,151.872335601
32,156.44829932
33,161.432426304
34,166.842857143
35,171.736281179
36,177.391609977
