,time
0,0.434240362812
1,3.99433106576
2,7.29138321995
3,10.8560090703
4,14.4115646259
5,17.8718820862
6,21.1553287982
7,24.6247165533
8,28.3027210884
9,31.8446712018
10,35.246031746
11,38.8922902494
12,42.4750566893
13,47.3503401361
14,51.5136054422
15,54.6927437642
16,58.3299319728
17,61.8401360544
18,65.2868480726
19,68.8832199546
20,72.5158730159
21,75.8310657596
22,79.141723356
23,82.6836734694
24,86.3480725624
25,89.6541950113
26,93.5453514739
27,97.0419501134
28,100.302721088
29,103.971655329
30,107.087301587
31,110.670068027
32,113.880952381
33,117.268707483
34,120.611111111
35,123.862811791
36,127.48185941
37,130.896825397
38,134.14399093
39,138.098639456
40,141.5861678
41,145.096371882
42,148.552154195
43,152.379818594
44,156.048752834
45,159.817460317
46,163.241496599
47,166.56122449
48,169.867346939
49,173.962585034
50,177.37755102
51,180.683673469
52,183.91723356
53,187.08276644
54,191.200680272
55,194.162131519
56,197.645124717
57,200.964852608
58,205.236961451
59,208.810657596
60,211.976190476
61,215.091836735
62,218.565759637
63,222.35260771
