,time
0,0.0
1,3.80385487528
2,7.13265306122
3,10.6700680272
4,13.2233560091
5,16.4206349206
6,18.0926779314
7,20.4115646259
8,23.6632653061
9,26.0578231293
10,29.0238095238
11,31.4546485261
12,34.0487528345
13,37.0827664399
14,41.4591836735
15,44.4070294785
16,48.0442176871
17,50.470521542
18,53.7267573696
19,57.2233560091
20,60.6111111111
21,63.880952381
22,67.3866213152
23,70.6156462585
24,73.3639455782
25,75.9807256236
26,78.7879818594
27,82.193877551
28,85.2324263039
29,88.2528344671
30,90.1403061224
31,93.0736961451
32,95.3096426743
33,97.2481438812
34,99.477324263
35,101.790249433
36,103.709814571
37,106.617566381
38,108.5430839
39,110.979194097
40,114.366213152
41,117.010204082
42,118.894740692
43,121.617913832
44,124.066893424
45,126.487203752
46,128.683673469
47,131.33345677
48,133.572562358
49,135.856626253
50,138.441294529
51,140.361678005
52,143.359410431
53,145.710674055
54,147.487633494
55,149.577097506
56,152.184807256
57,155.403180089
58,157.341681296
59,159.037414966
