,time
0,0.0
1,4.44353741497
2,9.19637188209
3,14.1623582766
4,19.0376417234
5,23.980952381
6,28.8517006803
7,33.6408163265
8,38.4843537415
9,43.2870748299
10,48.0081632653
11,52.6612244898
12,57.3505668934
13,62.1034013605
14,66.7655328798
15,71.5319727891
16,76.0535147392
17,80.674829932
18,85.2780045351
19,89.8403628118
20,94.4752834467
21,99.0512471655
22,103.613605442
23,108.230385488
24,112.788208617
25,117.37324263
26,121.921995465
27,126.448072562
28,131.010430839
29,135.604535147
30,140.203174603
31,144.760997732
32,149.309750567
33,153.921995465
34,158.466213152
35,163.160090703
36,167.745124717
37,172.357369615
38,176.942403628
39,181.49569161
40,186.03537415
41,190.516099773
42,195.046712018
43,199.577324263
44,204.067120181
45,208.53877551
46,213.123809524
47,217.595464853
48,222.039909297
49,225.990022676
50,230.398185941
51,234.919727891
52,239.364172336
53,242.983219955
54,247.114739229
55,251.604535147
56,255.985487528
57,260.439002268
58,264.874376417
59,269.282539683
60,273.128344671
61,276.620408163
62,281.005895692
63,285.359637188
64,289.282539683
65,293.522902494
66,297.804081633
67,302.171428571
68,306.511564626
69,311.450340136
70,316.520634921
71,321.967346939
72,327.491156463
73,331.763265306
74,336.919727891
75,342.375510204
76,347.278004535
77,350.960544218
78,354.95600907
79,359.400453515
80,364.058049887
81,368.634013605
82,373.368707483
83,377.858503401
84,382.280272109
85,386.751927438
86,391.141950113
87,395.522902494
