,time
0,1.28276643991
1,5.48684807256
2,9.92675736961
3,14.1353741497
4,18.2623582766
5,22.289569161
6,26.2351473923
7,30.1988662132
8,34.1308390023
9,37.7907029478
10,41.5049886621
11,45.0605442177
12,48.5752834467
13,52.2487528345
14,55.6818594104
15,59.2102040816
16,62.9925170068
17,66.2804988662
18,69.6455782313
19,73.0197278912
20,76.8655328798
21,80.879138322
22,84.6433106576
23,88.416553288
24,92.416553288
25,96.5344671202
26,100.307709751
27,103.885941043
28,107.309977324
29,110.752154195
30,113.981179138
31,117.468707483
32,120.838321995
