,time
0,0.0
1,4.47097505669
2,9.71814058957
3,15.3553287982
4,20.1943310658
5,24.9562358277
6,30.2941043084
7,35.133106576
8,40.0537414966
9,45.1784580499
10,50.2532879819
11,54.8972789116
12,59.3689342404
13,63.7544217687
14,67.80430839
15,72.3621315193
16,76.9743764172
17,80.5798185941
18,84.9063492063
19,88.7975056689
20,93.0378684807
21,97.1875283447
22,101.219274376
23,105.332653061
24,109.468707483
25,114.099092971
26,119.083219955
27,123.359863946
28,127.80430839
29,131.990249433
30,136.416553288
31,140.906349206
32,145.382539683
33,149.455102041
34,153.867800454
35,158.330385488
36,162.507256236
37,167.169387755
38,172.421088435
39,177.790702948
40,182.421088435
41,187.659183673
42,193.037868481
43,198.665986395
44,204.230612245
45,208.978911565
46,214.230612245
47,219.482312925
48,224.84739229
49,231.727210884
50,236.475510204
51,242.230612245
52,247.545804989
53,251.831519274
54,256.207936508
55,260.516326531
56,265.17845805
57,270.176190476
58,274.788435374
59,279.663718821
60,284.788435374
61,289.922222222
62,295.668253968
63,300.22154195
64,304.575283447
65,310.439229025
66,314.44829932
67,319.196598639
68,324.702267574
69,328.838321995
70,333.441496599
71,338.294104308
72,342.34399093
73,347.953968254
74,351.346258503
75,355.28276644
76,360.035600907
77,364.289569161
