,time
0,1.42335600907
1,4.79297052154
2,8.51632653061
3,12.7022675737
4,16.8247165533
5,20.9925170068
6,24.8428571429
7,28.9199546485
8,32.9290249433
9,36.9653061224
10,41.1013605442
11,45.5004535147
12,50.312244898
13,54.5571428571
14,58.9290249433
15,63.1421768707
16,67.4823129252
17,71.8496598639
18,76.1353741497
19,80.520861678
20,84.6387755102
21,88.901814059
22,93.4959183673
23,97.8451247166
24,102.380272109
25,107.341723356
26,111.976643991
27,116.525396825
28,121.133106576
29,126.008390023
