,time
0,0.0
1,1.37184957615
2,2.93967766318
3,4.50750575021
4,6.36930160356
5,7.83914043515
6,9.50495777762
7,11.1707751201
8,12.934581718
9,14.7975056689
10,16.4621949138
11,18.519969278
12,20.5777436423
13,22.3415502402
14,24.1399092971
15,26.0651419469
16,28.4168840774
17,30.3802721088
18,32.2384650395
19,34.1982501483
20,36.7459707897
21,38.6077666431
22,40.7635302628
23,42.6253261161
24,44.4871219695
25,46.752154195
26,48.5046814425
27,50.7584343176
28,52.42425166
29,54.3840367688
30,56.0498541113
31,57.8136607092
32,59.6754565626
33,61.5372524159
34,63.1557823129
35,64.8688871008
36,66.7306829542
37,68.2985110412
38,70.1172335601
39,71.7281349816
40,73.4919415795
41,75.5497159437
42,77.7680272109
43,79.5672754167
44,81.5270605255
45,83.2908671234
46,85.1648526077
47,87.0144588301
48,89.0722331944
49,90.9340290477
50,93.0333333333
51,94.9515885207
52,97.4505668934
53,99.26311576
54,100.928933103
55,102.49676119
56,104.260567787
57,106.148979592
58,107.886170239
