,time
0,0.316202275103
1,3.75648302822
2,7.97210884354
3,11.8496598639
4,15.7725623583
5,19.6092970522
6,23.9630385488
7,27.8678004535
8,31.8632653061
9,36.1897959184
10,39.879430936
11,44.5163265306
12,48.7385487528
13,52.8020408163
14,56.7929705215
15,61.0151927438
16,65.0469387755
17,69.0832199546
18,72.8156462585
19,76.8836734694
20,80.8156462585
21,84.9789115646
22,89.5639455782
23,93.5321995465
24,97.4732426304
25,101.80430839
26,105.518594104
27,109.532199546
28,113.532199546
29,117.59569161
