,time
0,0.130079182211
1,3.82675736961
2,6.37387992832
3,11.0195011338
4,14.4798185941
5,18.0036281179
6,21.3233560091
7,24.7473922902
8,28.2349206349
9,31.5455782313
10,35.2825396825
11,38.9786848073
12,43.4458049887
13,47.368707483
14,51.3551020408
15,55.6634920635
16,59.7179138322
17,63.5002267574
18,67.4276643991
19,71.3823129252
20,75.5455782313
21,79.1102040816
22,82.6022675737
23,86.1260770975
24,90.6929705215
25,94.0535147392
26,98.166893424
27,101.178231293
28,104.416326531
29,107.831292517
30,111.087528345
31,114.416326531
32,117.72244898
33,120.606802721
34,123.631746032
35,126.683900227
