,time
0,0.0
1,3.04195011338
2,6.6156462585
3,10.5068027211
4,14.0442176871
5,17.5272108844
6,21.0011337868
7,24.8151927438
8,28.4523809524
9,31.985260771
10,35.1825396825
11,38.701814059
12,42.1848072562
13,45.9036281179
14,50.0034013605
15,53.4546485261
16,56.8650793651
17,60.552154195
18,63.7811791383
19,68.1077097506
20,71.2052154195
21,74.9376417234
22,78.3117913832
23,81.5770975057
24,84.7471655329
25,88.0215419501
26,91.8673469388
27,95.5544217687
28,98.9285714286
29,102.23015873
30,105.373015873
31,108.434240363
32,111.948979592
33,114.96031746
34,118.112244898
35,121.132653061
36,124.030612245
37,127.749433107
38,131.100907029
39,134.892290249
40,138.4569161
41,141.568027211
42,145.014739229
43,148.502267574
44,151.409297052
45,154.4569161
46,157.200680272
47,160.629251701
48,163.431972789
49,166.33446712
50,169.386621315
51,172.583900227
52,175.821995465
53,178.85600907
54,181.785714286
55,184.887755102
56,187.894557823
57,191.200680272
58,194.493197279
59,197.441043084
60,200.724489796
61,204.266439909
62,208.007936508
63,211.459183673
