,time
0,1.14671201814
1,7.38707482993
2,13.9857142857
3,19.8632653061
4,25.4777777778
5,31.2918367347
6,37.446031746
7,44.2487528345
8,50.7249433107
9,56.3439909297
10,62.4029478458
11,67.826984127
12,73.2328798186
13,78.1807256236
14,83.5231292517
15,87.8904761905
16,92.2623582766
17,97.0151927438
18,102.162585034
19,107.07414966
20,111.849659864
21,116.543537415
22,121.663718821
23,126.570748299
24,131.287301587
25,136.597959184
26,141.482312925
27,146.375736961
28,151.237414966
29,156.203401361
30,163.087755102
31,168.579818594
