,time
0,0.0
1,1.28505595787
2,2.57011191573
3,3.86780045351
4,5.1759198303
5,6.45736961451
6,7.7103357472
7,8.97891156463
8,10.2447516641
9,11.5820861678
10,12.8148635798
11,14.1356155365
12,15.3689342404
13,16.6343354546
14,17.9040816327
15,19.2044473703
16,20.3824153317
17,21.7136054422
18,23.0953112428
19,24.3394557823
20,25.5940311609
21,26.8882086168
22,28.1284470778
23,29.3870748299
24,30.591470997
25,31.8904761905
26,33.1615829127
27,34.4256235828
28,35.624606832
29,36.9607709751
30,38.2304147465
31,39.5231292517
