,time
0,0.0766439909297
1,1.54195011338
2,3.08390022676
3,4.71151423532
4,6.33912824389
5,7.83824640967
6,9.63673469388
7,11.0078105316
8,12.549760645
9,14.0488788108
10,15.5908289242
11,17.1560090703
12,18.4177374654
13,19.8740236835
14,21.201814059
15,22.4867724868
16,24.0857142857
17,25.3993449232
18,27.0562358277
19,28.3119173595
20,29.90430839
21,31.1816578483
22,32.6807760141
23,34.2671201814
24,35.5505165029
25,37.0496346687
26,38.643537415
27,39.8765432099
28,41.4613252708
29,42.8319475939
30,44.288233812
31,45.9814058957
32,47.2864701436
