,time
0,1.27823129252
1,5.26462585034
2,9.57301587302
3,13.6138321995
4,18.0492063492
5,22.185260771
6,26.1671201814
7,29.9040816327
8,34.0219954649
9,37.8723356009
10,41.8768707483
11,45.8496598639
12,49.8723356009
13,53.8995464853
14,57.9222222222
15,61.8496598639
16,65.9358276644
17,69.7952380952
18,74.1172335601
19,78.5888888889
20,82.9335600907
21,86.9698412698
22,90.879138322
23,95.0151927438
24,98.8746031746
25,102.820181406
26,106.6569161
27,110.312244898
28,114.035600907
29,117.768027211
30,121.504988662
31,125.223809524
32,129.28276644
