,time
0,0.842630385488
1,5.75419501134
2,10.4888888889
3,15.2009070295
4,20.0081632653
5,25.0512471655
6,29.9265306122
7,34.6612244898
8,39.4639455782
9,43.9537414966
10,48.5750566893
11,53.8494331066
12,58.5614512472
13,63.8222222222
14,68.6884353741
15,73.1646258503
16,78.0172335601
17,83.0829931973
18,87.8176870748
19,92.4798185941
20,97.3868480726
21,102.098866213
22,106.770068027
23,110.733786848
24,115.840362812
25,119.758730159
26,124.189569161
27,128.946938776
28,133.677097506
29,138.058049887
30,142.611337868
31,147.196371882
32,151.690702948
33,155.917460317
34,160.302947846
35,164.95600907
36,170.398185941
37,176.284807256
38,181.323356009
39,185.200907029
40,189.872108844
41,194.593197279
42,199.141950113
43,203.668027211
44,208.080725624
45,213.205442177
46,219.037641723
47,224.189569161
48,228.783673469
49,233.37324263
50,238.547845805
51,243.731519274
52,248.45260771
53,252.992290249
54,257.522902494
55,261.885714286
56,266.398185941
57,270.779138322
58,275.30521542
59,279.93106576
60,284.457142857
61,288.919727891
62,293.531972789
63,298.148752834
64,302.629478458
65,307.051247166
66,311.509297052
67,315.640816327
68,319.990022676
69,323.776870748
70,328.012698413
71,332.071655329
72,336.039909297
73,340.01723356
74,343.776870748
75,347.636281179
76,351.554648526
77,355.622675737
