,time
0,1.21882086168
1,4.94217687075
2,7.83560090703
3,11.141723356
4,14.1666666667
5,17.3004535147
6,20.2120181406
7,23.8401360544
8,27.141723356
9,30.0623582766
10,33.4229024943
11,36.5793650794
12,39.858276644
13,43.3503401361
14,47.268707483
15,50.470521542
16,54.1213151927
17,57.8628117914
18,61.3548752834
19,64.6383219955
20,68.7335600907
21,73.1507936508
22,76.0578231293
23,79.3594104308
24,82.4659863946
25,85.7721088435
26,88.2482993197
27,92.6927437642
28,96.5612244898
29,99.7675736961
30,103.141723356
31,106.56122449
32,109.994331066
33,113.137188209
34,116.153061224
35,119.758503401
36,122.756235828
37,125.513605442
38,129.572562358
39,133.735827664
40,137.989795918
41,141.218820862
42,144.497732426
43,147.173469388
44,149.948979592
45,153.023809524
46,156.289115646
47,160.130385488
48,163.79478458
49,166.293650794
50,169.214285714
51,172.964852608
52,176.066893424
53,179.427437642
54,181.908163265
55,185.386621315
56,188.007936508
57,190.484126984
58,192.964852608
59,195.350340136
