,time
0,0.0
1,1.81726830517
2,4.15375612611
3,6.39365079365
4,8.93333333333
5,11.241723356
6,13.8222222222
7,16.0958049887
8,18.3800453515
9,20.7700680272
10,22.5860489357
11,24.7927318777
12,26.9994148197
13,29.346031746
14,31.5425855826
15,33.6194636457
16,35.9559514666
17,38.2802721088
18,40.6929705215
19,43.0013605442
20,45.0422929925
21,47.2489759345
22,49.3551020408
23,51.2729271816
24,52.9741496599
25,54.6478540341
26,56.7700680272
27,58.8016101602
28,61.0082931022
29,63.6362811791
30,66.2757369615
31,68.4071712018
32,70.224439507
33,72.8205370858
34,74.7609977324
35,76.4550736961
36,79.9598054275
37,81.9068786117
38,83.8131519274
39,85.4116103431
40,87.748098164
41,89.954781106
42,92.1260770975
43,94.238342111
44,96.5387755102
45,98.3920982371
46,100.656689342
47,102.675659242
48,104.363122668
49,108.257269037
50,110.475283447
51,112.281220284
52,113.858503401
53,115.915756894
54,117.695238095
55,119.420488626
56,121.627171568
57,123.473015873
58,126.547845805
